,customer_gender,customer_height,customer_weight,customer_size,major,sub,link,product_star,product_sales
528,1.0,170.0,58.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
529,1.0,161.0,48.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
530,1.0,168.0,54.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
531,1.0,163.0,50.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
532,1.0,164.0,50.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
533,1.0,167.0,57.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
534,1.0,163.0,53.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2111542,4.7,200.0
535,1.0,161.0,63.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/2551401,4.7,300.0
536,1.0,165.0,53.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
537,1.0,159.0,52.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2551402,4.7,100.0
538,1.0,164.0,56.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2111542,4.7,200.0
539,1.0,163.0,50.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
540,1.0,168.0,55.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
541,1.0,165.0,54.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
542,1.0,167.0,60.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
543,1.0,156.0,51.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
544,1.0,160.0,50.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
545,1.0,160.0,45.0,0.0,skirt,mini,https://www.musinsa.com/app/goods/2551401,4.7,300.0
546,0.0,165.0,60.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
547,1.0,172.0,60.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
548,1.0,157.0,50.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
549,1.0,168.0,52.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2059977,4.8,200.0
550,1.0,160.0,44.0,0.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
551,1.0,161.0,51.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
552,1.0,163.0,43.0,0.0,skirt,mini,https://www.musinsa.com/app/goods/2551401,4.7,300.0
553,1.0,164.0,63.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
554,1.0,168.0,54.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
555,1.0,159.0,54.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
556,1.0,165.0,54.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
557,1.0,167.0,58.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
558,1.0,168.0,55.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
559,1.0,160.0,50.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
560,1.0,167.0,62.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
561,1.0,160.0,63.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
562,1.0,164.0,60.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
563,1.0,162.0,48.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
564,1.0,173.0,70.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
565,1.0,168.0,53.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
566,1.0,161.0,51.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
567,1.0,168.0,52.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
568,1.0,158.0,44.0,0.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
569,1.0,163.0,43.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
570,1.0,165.0,52.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
571,1.0,161.0,64.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
572,1.0,163.0,48.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2059977,4.8,200.0
573,1.0,165.0,56.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
574,1.0,158.0,44.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2059977,4.8,200.0
575,0.0,170.0,60.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
576,1.0,173.0,73.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
577,1.0,158.0,55.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
578,1.0,164.0,48.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
579,1.0,163.0,50.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2059977,4.8,200.0
580,1.0,152.0,47.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2059977,4.8,200.0
581,1.0,171.0,65.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
582,1.0,163.0,53.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
583,1.0,160.0,150.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
584,1.0,163.0,62.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/2551402,4.7,100.0
585,1.0,164.0,55.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
586,1.0,160.0,57.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
587,1.0,160.0,48.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2059977,4.8,200.0
588,1.0,165.0,60.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
589,1.0,160.0,47.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2059977,4.8,200.0
590,1.0,162.0,50.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
591,1.0,160.0,50.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
592,1.0,165.0,50.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2551401,4.7,300.0
593,1.0,169.0,56.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
594,1.0,160.0,52.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
595,1.0,164.0,58.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
596,1.0,165.0,42.0,0.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
597,1.0,163.0,49.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
598,1.0,171.0,51.0,0.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
599,1.0,165.0,48.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2059977,4.8,200.0
600,1.0,162.0,47.0,0.0,skirt,mini,https://www.musinsa.com/app/goods/2111542,4.7,200.0
601,1.0,163.0,53.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2111542,4.7,200.0
602,1.0,161.0,52.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
603,1.0,169.0,54.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2111542,4.7,200.0
604,1.0,170.0,55.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
605,1.0,165.0,48.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
606,1.0,163.0,52.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
607,1.0,166.0,56.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
608,1.0,163.0,60.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
609,1.0,162.0,60.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
610,1.0,150.0,43.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2059977,4.8,200.0
611,1.0,154.0,42.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
612,1.0,160.0,48.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
613,1.0,170.0,51.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
614,1.0,157.0,46.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
615,1.0,159.0,48.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
616,1.0,166.0,61.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
617,1.0,162.0,52.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
618,1.0,160.0,50.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
619,1.0,163.0,53.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2551401,4.7,300.0
620,1.0,164.0,47.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
621,1.0,172.0,60.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
622,1.0,168.0,57.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
623,1.0,155.0,45.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
624,1.0,171.0,63.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2425369,4.9,400.0
625,1.0,170.0,65.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2425369,4.9,400.0
626,1.0,170.0,60.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
627,1.0,156.0,43.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2059977,4.8,200.0
628,1.0,162.0,57.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
629,1.0,160.0,50.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2551402,4.7,100.0
630,1.0,158.0,47.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
631,1.0,167.0,53.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
632,1.0,154.0,40.0,0.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
633,1.0,163.0,50.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
634,1.0,161.0,46.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2059977,4.8,200.0
635,1.0,164.0,55.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
636,1.0,154.0,44.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
637,1.0,167.0,47.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2059977,4.8,200.0
638,1.0,166.0,150.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/1944554,4.8,800.0
639,1.0,159.0,40.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2059977,4.8,200.0
640,1.0,165.0,56.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
641,1.0,162.0,52.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
642,1.0,170.0,58.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2059977,4.8,200.0
643,1.0,160.0,60.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
644,1.0,164.0,52.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
645,1.0,152.0,43.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
646,1.0,160.0,54.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1618698,4.8,100.0
647,1.0,160.0,56.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2111542,4.7,200.0
648,1.0,168.0,66.0,3.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
649,1.0,155.0,42.0,0.0,skirt,mini,https://www.musinsa.com/app/goods/2551403,4.7,50.0
650,1.0,158.0,44.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
651,1.0,163.0,52.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/2551409,4.8,50.0
652,1.0,161.0,50.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
653,1.0,165.0,53.0,1.0,skirt,mini,https://www.musinsa.com/app/goods/2316503,4.8,700.0
654,1.0,171.0,62.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1324272,4.8,400.0
655,1.0,165.0,56.0,2.0,skirt,mini,https://www.musinsa.com/app/goods/1979473,4.7,900.0
